Exterior color,Interior color,Drivetrain,MPG,Fuel type,Transmission,Engine,VIN,Stock #,Mileage,title,primaly_price,currency,url
Black,Black,Front-wheel Drive,43–40,Hybrid,Automatic CVT,1.8L I4 16V MPFI DOHC Hybrid,JTHKD5BH5F2235440,CWWF43435,"98,031 mi.",2015 Lexus CT 200h Base,14990.0,$,https://www.cars.com/vehicledetail/2c3f865d-5c83-4f30-a1df-9e2dd9d0ce90/
Aventurin Red Metallic,Cognac,Rear-wheel Drive,25–33,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBA53BH08PCN51294,PCN51294SL,13 mi.,2023 BMW 530 i,58715.0,$,https://www.cars.com/vehicledetail/78cfadea-4dc8-4646-83a0-abb4efedc766/
Sterling,Alpine Umber,Four-wheel Drive,14–18,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,1GKS2KKL1PR508767,PR508767,2 mi.,2023 GMC Yukon XL Denali Ultimate,107640.0,$,https://www.cars.com/vehicledetail/b71bf167-5278-41ab-a627-9211c1afe54d/
White Frost Tri-Coat,Teak,Four-wheel Drive,14–18,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,1GKS2DKL0PR519707,PR519707,3 mi.,2023 GMC Yukon Denali,90830.0,$,https://www.cars.com/vehicledetail/098fa6af-06f2-4c43-bc47-a0e12a3cf55e/
Magnetite Black Metallic,Auburn Brown,Rear-wheel Drive,16–22,Gasoline,7-Speed Automatic with Auto-Shift,4.0L V8 32V MPFI DOHC Twin Turbo,WDDYJ7JA4GA006300,P8830,"14,152 mi.",2016 Mercedes-Benz AMG GT AMG GT S,83945.0,$,https://www.cars.com/vehicledetail/8a89bab4-6fdd-43b2-a3d2-a3e86fed485a/
Race Red,Navy Pier,Four-wheel Drive,16–18,Gasoline,7-Speed Manual,2.3L I4 16V GDI DOHC Turbo,1FMDE4CH3PLA20162,F23404,7 mi.,2023 Ford Bronco Heritage Edition,48845.0,$,https://www.cars.com/vehicledetail/d3c28f9d-ffbf-4195-8c2d-7a2f015f5f1b/
Gray Metallic,Black,All-wheel Drive,16–23,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Twin Turbo,WBS33BA03RCN90262,WM24031,7 mi.,2024 BMW M4 Competition xDrive,102705.0,$,https://www.cars.com/vehicledetail/e90c3ef6-0dbb-448e-8921-8c6901333743/
Alpine White,Canberra Beige,All-wheel Drive,23–32,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBA13BJ05NWX58911,F2236100,"33,611 mi.",2022 BMW 530 i xDrive,58680.0,$,https://www.cars.com/vehicledetail/556a1dc9-9b0c-428b-b161-a8a2e1b60e4d/
Black,Jet Black,Four-wheel Drive,17–24,Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,1GCGTDEN3M1133126,NA0547,"38,884 mi.",2021 Chevrolet Colorado Z71,32200.0,$,https://www.cars.com/vehicledetail/c1d69f80-e84f-4ce9-ae6d-2fa7a3aa764b/
Ibis White,Black,All-wheel Drive,22–28,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,WA1ANAFY3L2060320,P9999,"61,719 mi.",2020 Audi Q5 45 Premium,21899.0,$,https://www.cars.com/vehicledetail/8e276145-fcd3-4d10-b1c1-f11c6cad4d9d/
Stone White,Agate,Four-wheel Drive,16–19,Gasoline,5-Speed Manual,4.0L I6 12V MPFI OHV,1J4FA59S71P334392,1P334392,"47,940 mi.",2001 Jeep Wrangler Sahara,17500.0,$,https://www.cars.com/vehicledetail/8f0fe329-731e-4ea6-8154-416bf4ced88b/
Radiant Red Tintcoat,Jet Black/Red Accents,All-wheel Drive,19–26,Gasoline,Automatic,"3.6L V-6 gasoline direct injection, DOHC, VVT variable valve con",3GNKBKRS4PS233554,23486,3 mi.,2023 Chevrolet Blazer RS,49530.0,$,https://www.cars.com/vehicledetail/8b8ddcf4-38b1-4a7f-a213-d8a2c1b7be81/
Delmonico Red Pearlcoat,Black,Rear-wheel Drive,15–22,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,1C6RREHT1MN748989,Z179648A,"22,208 mi.",2021 RAM 1500 Limited,46490.0,$,https://www.cars.com/vehicledetail/a674bb57-e70b-4de7-98d9-dd69ace6fa77/
Aurora Red Metallic,Titan Black,All-wheel Drive,16–22,Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,1V2KR2CA2MC552956,V028571A,"73,848 mi.",2021 Volkswagen Atlas 3.6 V6 SE w/ Technology,28000.0,$,https://www.cars.com/vehicledetail/207fb2d2-c8a5-4855-8982-472b76d4ae88/
Tuxedo Black Metallic,Black,Four-wheel Drive,–,E85 Flex Fuel,6-Speed Automatic,6.2L V8 16V MPFI SOHC Flexible Fuel,1FT7W2B61FEB20282,F23467A,"52,888 mi.",2015 Ford F-250 Platinum,40995.0,$,https://www.cars.com/vehicledetail/cb2fe4ea-3165-4017-814f-b85d4fdbd35b/
BLUPRINT,Black,Four-wheel Drive,17–22,Gasoline,10-Speed Automatic,3.4L V6 24V PDI DOHC Twin Turbo,5TFJA5DB6RX133604,24017,9 mi.,2024 Toyota Tundra Limited,65361.0,$,https://www.cars.com/vehicledetail/b40ef39a-cde5-4a88-93aa-fcaafe957659/
Carbonized Gray Metallic,Medium Dark Slate,Four-wheel Drive,18–23,Gasoline,Automatic,3.5L V6 EcoBoost with Auto Start-Stop Technology Engine,1FTFW1E85PFC42884,PFC42884,0 mi.,2023 Ford F-150 Lariat,65349.0,$,https://www.cars.com/vehicledetail/4a9c4038-51e2-468c-bb9f-89df23cac1c0/
Blue,Black Onyx,Four-wheel Drive,17–17,Gasoline,10-Speed Automatic,2.7L V6 24V PDI DOHC Twin Turbo,1FMEE4GP9PLA70294,Y7749,10 mi.,2023 Ford Bronco Heritage Limited Edition,83605.0,$,https://www.cars.com/vehicledetail/bfc01d7c-5bca-4a66-9104-3801736fda0b/
Velvet Red Pearlcoat,Global Black,Four-wheel Drive,19–26,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4RJHAG7PC609402,231482,0 mi.,2023 Jeep Grand Cherokee Laredo X,44675.0,$,https://www.cars.com/vehicledetail/5451d3e5-8143-48a6-9006-68c791e0d8c3/
Silver Ice Metallic,Jet Black / Dark Titanium,Front-wheel Drive,–,Gasoline,6-Speed Automatic,1.4L I4 16V MPFI DOHC Turbo,1G1JC5SB9E4194169,H19290A,"95,922 mi.",2014 Chevrolet Sonic LT,6997.0,$,https://www.cars.com/vehicledetail/3be9ea12-3ae4-4b51-82ba-0489be1661dc/
Sterling,Atmosphere,Four-wheel Drive,16–20,Gasoline,10-Speed Automatic,5.3L V8 16V GDI OHV,3GTUUGED0PG348428,31912000,2 mi.,2023 GMC Sierra 1500 Denali,67680.0,$,https://www.cars.com/vehicledetail/45d531ae-d0ab-4041-8d88-4be6bc7b56fc/
Black,Titanium Grey,All-wheel Drive,16–24,Gasoline,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,W1KZF8KB2PB146438,PB146438,9 mi.,2023 Mercedes-Benz AMG E 63 S 4MATIC,140090.0,$,https://www.cars.com/vehicledetail/54e588b3-a351-43b0-af86-2a0bf1e18b92/
Magnetic Gray Metallic,Black,All-wheel Drive,27–33,Gasoline,8-Speed Automatic,2.5L I4 16V PDI DOHC,2T3P1RFV7PW404888,230531,0 mi.,2023 Toyota RAV4 XLE,35461.0,$,https://www.cars.com/vehicledetail/bb59a91b-eff6-4998-8c4c-3fea30818c5a/
Atlas,Black,All-wheel Drive,19–27,Gasoline,8-Speed Automatic with Auto-Shift,2.5L I4 16V PDI DOHC Turbo,5NTJEDAF5RH079196,H14584,9 mi.,2024 Hyundai Santa Cruz 2.5T Limited,40000.0,$,https://www.cars.com/vehicledetail/7ab087f6-d548-4604-846a-39aeb7547b9c/
Magnetic Force,Gray,All-wheel Drive,22–25,Gasoline,Automatic,Regular Unleaded I-4 2.0 L/122,KM8J3CA42MU290878,6PC8122,"44,864 mi.",2021 Hyundai Tucson Value,20171.0,$,https://www.cars.com/vehicledetail/2a300fe9-4a45-4ab7-9e74-bd870766ba55/
Sunset Drift Chromaflair,Charcoal,Front-wheel Drive,20–30,Gasoline,Automatic CVT,3.5L V6 24V GDI DOHC,1N4AA6EVXMC510729,167471A,"38,438 mi.",2021 Nissan Maxima SR,28700.0,$,https://www.cars.com/vehicledetail/2ab7c50c-5df7-403e-a963-b0faf2309f27/
Modern Steel Metallic,Black,All-wheel Drive,19–25,Gasoline,10-Speed Automatic,3.5L V6 24V GDI DOHC,5FNYG1H42PB040359,23H551,14 mi.,2023 Honda Pilot EX-L 8-Passenger,45745.0,$,https://www.cars.com/vehicledetail/21b8f32c-8ca7-4715-8a44-83201390c15b/
Bright Silver,Gray 2-Tone,Front-wheel Drive,,,1-Speed Automatic,Electric,KNDJP3AE1H7021146,TK8153,"22,720 mi.",2017 Kia Soul EV EVe,16000.0,$,https://www.cars.com/vehicledetail/607f00c4-39ca-4011-a710-667cde7a47a4/
Lunar Silver Metallic,Mocha,FWD,19–28,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H92RB005879,400193,5 mi.,2024 Honda Odyssey Elite,51345.0,$,https://www.cars.com/vehicledetail/82c0b9ef-47d9-41cb-b04a-f59c152b085d/
Iconic Silver Metallic,Medium Dark Slate,Four-wheel Drive,–,Diesel,10-Speed Automatic,6.7L V8 32V DDI OHV Turbo Diesel,1FT8X3BT3PEE08724,E08724,35 mi.,2023 Ford F-350 XLT,64545.0,$,https://www.cars.com/vehicledetail/40f6fe9d-7d50-4357-a462-a442f66e338b/
Red,Black / Graphite,Four-wheel Drive,16–19,Gasoline,5-Speed Automatic,4.0L V6 24V MPFI DOHC,JTENU5JR3M5905308,P9593,"50,392 mi.",2021 Toyota 4Runner SR5 Premium,34905.0,$,https://www.cars.com/vehicledetail/cb9ea4b0-33d0-4ae1-9e64-d2ad619fdea9/
Antimatter Blue Metallic,–,Four-wheel Drive,0–0,Diesel,Automatic,"Powerstroke 6.7L V-8 diesel direct injection, DEVCT intercooled",1FT8W2BTXPEC96601,3C96601,0 mi.,2023 Ford F-250 XLT,77770.0,$,https://www.cars.com/vehicledetail/f9e5bc3f-3652-4523-9b91-1aafac858c38/
Black,Jet Black,All-wheel Drive,26–30,Gasoline,9-Speed Automatic,1.3L I3 12V GDI DOHC Turbo,KL79MRSL5PB190350,PB190350,3 mi.,2023 Chevrolet Trailblazer LT,28875.0,$,https://www.cars.com/vehicledetail/605059db-f746-4ff5-b740-cf7fea19736d/
Ceramic Gray Clearcoat,Black,Front-wheel Drive,19–28,Gasoline,9-Spd 948TE Auto Trans,"3.6L V-6 DOHC, VVT variable valve control, regular unleaded, eng",2C4RC1BG3PR617925,P460,2 mi.,2023 Chrysler Pacifica Touring L,45615.0,$,https://www.cars.com/vehicledetail/6197e29f-8ff0-45de-b7b0-06c064636e8b/
Thunder Gray Metallic,Charcoal,All-wheel Drive,20–26,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,YV40621AXP1991050,P1991050,4 mi.,2023 Volvo XC90 B6 Ultimate 6-Seater,66083.0,$,https://www.cars.com/vehicledetail/1f0fe6c8-53cf-4e58-ab02-058d721f1026/
Mercury Gray,Black,All-wheel Drive,17–23,Gasoline,5-Speed Manual,2.0L I4 16V MPFI DOHC Turbo,JA32W8FV6FU014557,15703,"37,775 mi.",2015 Mitsubishi Lancer Evolution GSR,34450.0,$,https://www.cars.com/vehicledetail/2c4950f8-ce71-4cef-a2f9-caed56b5c6fa/
Mythos Black Metallic w/ Black Roof,Black,All-wheel Drive,21–28,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo,WAUW4GF52PN008556,16854,14 mi.,2023 Audi S5 3.0T Premium Plus,75640.0,$,https://www.cars.com/vehicledetail/f7f7eac9-198c-41d4-83fb-839378d19459/
Gray Metallic,Black,Four-wheel Drive,–,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,1FTFW1E82NFC06521,26208,"1,594 mi.",2022 Ford F-150 XLT,51982.0,$,https://www.cars.com/vehicledetail/a0366a14-8b26-4869-8f18-16dbb0ef8aeb/
Black Raven,Jet Black,Four-wheel Drive,14–18,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,1GYS4GKL3PR529245,PR529245,5 mi.,2023 Cadillac Escalade Sport Platinum,119540.0,$,https://www.cars.com/vehicledetail/b13e2d96-9250-418e-ad28-347cf776f829/
Diamond Silver Metallic,Macchiato Beige,Rear-wheel Drive,20–28,Gasoline,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,WDD1J6HBXKF076129,KF076129,"36,720 mi.",2019 Mercedes-Benz E-Class E 450,36307.0,$,https://www.cars.com/vehicledetail/a5bfe929-baef-4658-99cf-6249a3b65d47/
Cactus Green / Gray,Ebony,Four-wheel Drive,19–24,Gasoline,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,1FTER4FH8NLD51356,221404TF,561 mi.,2022 Ford Ranger SCA-BLACK WIDOW,52940.0,$,https://www.cars.com/vehicledetail/fe494c00-5d72-4a56-b2a3-0a4ef4656954/
Ebony Twilight Metallic,Jet Black,All-wheel Drive,22–27,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1GKKNRL47NZ150661,D1128,"29,669 mi.",2022 GMC Acadia SLE,35900.0,$,https://www.cars.com/vehicledetail/1d206269-6a69-4e1d-b935-a069963dff17/
Onyx Black,Jet Black,Four-wheel Drive,14–18,Gasoline,Automatic,"EcoTec3 6.2L V-8 gasoline direct injection, variable valve contr",1GKS2JKL7PR460539,AG0098,5 mi.,2023 GMC Yukon XL Denali,86117.0,$,https://www.cars.com/vehicledetail/fcadc041-5417-4f3b-8081-f137cdf433f6/
Black,Black,Rear-wheel Drive,15–23,Gasoline,6-Speed Manual,3.6L V6 24V GDI DOHC Twin Turbo,1G6DL5RP4P0566035,C43425,2 mi.,2023 Cadillac CT4-V Blackwing,89165.0,$,https://www.cars.com/vehicledetail/d38a616b-33fe-4e15-a9b8-5dd6ccec0645/
Black,Jet Black,Four-wheel Drive,–,Diesel,10-Speed Automatic,6.6L V8 32V DDI OHV Turbo Diesel,2GC4YNEY1R1125550,L24030,0 mi.,2024 Chevrolet Silverado 2500 LT,72330.0,$,https://www.cars.com/vehicledetail/91abebd4-0468-451f-bec6-fbf304370e5c/
Iridescent Pearl Tricoat,Jet Black,Four-wheel Drive,15–20,Gasoline,Automatic,"EcoTec3 5.3L V-8 gasoline direct injection, variable valve contr",1GNSKPKD1PR530731,PR530731STK,0 mi.,2023 Chevrolet Tahoe 4WD Z71,74175.0,$,https://www.cars.com/vehicledetail/fff21018-1a25-4867-9063-7a48a76b2b1b/
Volcanic Red,Jet Black,Rear-wheel Drive,18–23,Gasoline,8-Speed Automatic,2.7L I4 16V GDI DOHC Turbo,1GTP5BEKXP1215413,G0621,1 mi.,2023 GMC Canyon Elevation,43705.0,$,https://www.cars.com/vehicledetail/542f8d7d-a41a-425e-a533-7171bb658923/
Gray,Black,Four-wheel Drive,17–23,Gasoline,10-Speed Automatic,3.4L V6 24V PDI DOHC Twin Turbo,5TFLA5DB8PX127258,PX127258,–,2023 Toyota Tundra SR5,54613.0,$,https://www.cars.com/vehicledetail/03dac52d-91bb-450d-bd4d-a91d9048e960/
Race Red,Black Onyx,Four-wheel Drive,–,Diesel,10-Speed Automatic,6.7L V8 32V DDI OHV Turbo Diesel,1FT8X2BT2PED62667,T23-174,39 mi.,2023 Ford F-250 Lariat,88965.0,$,https://www.cars.com/vehicledetail/59f4a22a-1afb-4e6e-8c2d-c080951e9180/
White,Black,Rear-wheel Drive,,,1-Speed Automatic,Electric,KMHM34AA4PA052013,PA052013,5 mi.,2023 Hyundai IONIQ 6 SEL,44560.0,$,https://www.cars.com/vehicledetail/01699dd7-429a-4be3-a070-c091eeda3d6b/
White,–,All-wheel Drive,–,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,JTHG5LGF1N5010752,N5010752,–,2022 Lexus LS 500 Base,107195.0,$,https://www.cars.com/vehicledetail/0191a7f7-cd58-4840-b53b-e2f41bad4e95/
Elkhart Lake Blue Metallic,Adrenaline Red,Rear-wheel Drive,16–24,Gasoline,8-Speed Automatic with Auto-Shift,6.2L V8 16V GDI OHV,1G1YB2D46P5106982,SU3532,"5,120 mi.",2023 Chevrolet Corvette Stingray w/2LT,83000.0,$,https://www.cars.com/vehicledetail/789ff304-aa0b-4464-b83f-b137cff1069b/
Carmine Red,Black,Rear-wheel Drive,19–26,Gasoline,7-Speed Automatic with Auto-Shift,3.4L H6 24V GDI DOHC,WP0AB2A86FK182198,P182198,"35,828 mi.",2015 Porsche Cayman GTS,66287.0,$,https://www.cars.com/vehicledetail/31d9c026-05b5-4a8a-894c-399a2257ea7b/
Flame Red Clearcoat,Black,Rear-wheel Drive,–,Diesel,Automatic,3.0L V6 24V DDI DOHC Turbo Diesel,1C6RREFMXNN452527,803271,13 mi.,2022 RAM 1500 Big Horn,58627.0,$,https://www.cars.com/vehicledetail/54ad144b-e645-44e8-8988-d85f5cdd1829/
Black,–,Four-wheel Drive,15–19,Gasoline,6-Speed Automatic,4.6L V8 32V MPFI DOHC,JTJAM7BX8L5264244,T23267B,"69,218 mi.",2020 Lexus GX 460 Base,41990.0,$,https://www.cars.com/vehicledetail/b2a31cc2-38c3-4541-9657-ee8c6b981534/
Ice,Cement,Rear-wheel Drive,20–23,Gasoline,6-Speed Automatic,2.7L I4 16V MPFI DOHC,3TYRX5GN4PT089634,232013,0 mi.,2023 Toyota Tacoma SR,29083.0,$,https://www.cars.com/vehicledetail/5bdbc616-0d9e-40a6-b68b-0e31da0b0433/
Blue,–,Front-wheel Drive,53–51,Hybrid,Automatic CVT,2.0L I4 16V PDI DOHC Hybrid,JTDACACU8P3009523,2009523,11 mi.,2023 Toyota Prius Prime SE,33814.0,$,https://www.cars.com/vehicledetail/f09e9a32-66a2-484e-ba39-6dbef3be9f0e/
Modern Steel Metallic,Black,Front-wheel Drive,19–28,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H95RB010090,OD40090,0 mi.,2024 Honda Odyssey Elite,51345.0,$,https://www.cars.com/vehicledetail/3d5ec040-6592-4afa-9210-a32f54334944/
Summit White,Jet Black,Four-wheel Drive,–,Gasoline,6-Speed Automatic,VORTEC,1GC2KVEG2GZ220381,KC2749,"84,779 mi.",2016 Chevrolet Silverado 2500 LT,34397.0,$,https://www.cars.com/vehicledetail/0839232d-1a2d-4d79-b072-5131d37aed6f/
Rapid Red Metallic Tinted Clearcoat,Black,Four-wheel Drive,18–23,Gasoline,10-Speed Automatic,5.0L V8 32V PDI DOHC,1FTFW1E55LKE89362,PG7735,"38,290 mi.",2020 Ford F-150 Lariat,45500.0,$,https://www.cars.com/vehicledetail/659cc79d-1a6e-42a2-8b2b-554972c281a2/
Ostuni Pearl White,Raven Blue / Ebony,Four-wheel Drive,–,Gasoline,Automatic,I4,SALYL2EX5RA372705,24V14,"1,597 mi.",2024 Land Rover Range Rover Velar Dynamic SE,74898.0,$,https://www.cars.com/vehicledetail/415e9798-69d5-4e7d-92ab-013d111e8a51/
Magnetic Gray Metallic,Red,Four-wheel Drive,19–22,Hybrid,10-Speed Automatic,3.4L V6 24V PDI DOHC Twin Turbo Hybrid,7SVAAABA3RX022324,T242385,0 mi.,2024 Toyota Sequoia TRD Pro,91055.0,$,https://www.cars.com/vehicledetail/59649aba-ff34-4710-b699-e3b0e57003e5/
Dark Gray,Black,Rear-wheel Drive,17–25,Gasoline,9-Speed Automatic,4.7L V8 32V GDI DOHC Twin Turbo,WDDXK8CB0HA020751,020751,"46,356 mi.",2017 Mercedes-Benz S-Class S 550,58950.0,$,https://www.cars.com/vehicledetail/a4a1c159-2bf9-444a-a12a-caf202dbbb99/
Minotaur Green,Black,Rear-wheel Drive,18–24,Gasoline,8-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,SCFSMGAW7PGN08459,PGN08459,18 mi.,2023 Aston Martin Vantage ,183986.0,$,https://www.cars.com/vehicledetail/bea06d67-7b82-4277-a874-4f72f5caf32a/
Chili Red Metallic,Titan Black,Front-wheel Drive,22–31,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WVWFR7AN6KE025218,V3384A,"34,276 mi.",2019 Volkswagen Arteon 2.0T SE R-Line,24412.0,$,https://www.cars.com/vehicledetail/3b420d3c-b8e1-4046-91c8-9006fc288ef9/
Volcanic Red,Obsidian Rush,Four-wheel Drive,19–20,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,3GTUUFEL5RG104780,24088,5 mi.,2024 GMC Sierra 1500 AT4X,83980.0,$,https://www.cars.com/vehicledetail/af2ddd01-0101-49a1-976f-751b52c00f9f/
Mineral White Metallic,Black,AWD,23–27,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UX23EU00R9T98289,R9T98289,5 mi.,2024 BMW X5 xDrive40i,73160.0,$,https://www.cars.com/vehicledetail/dd5658fe-92c4-470e-8b77-facc567ff572/
Onyx Black,Black,Four-wheel Drive,18–20,Gasoline,8-Speed Automatic,2.7L I4 16V GDI DOHC Turbo,1GTPUAEK0PZ264912,C5479,5 mi.,2023 GMC Sierra 1500 Pro,53185.0,$,https://www.cars.com/vehicledetail/4a8b37ee-a708-4654-8f46-c70ba8cea3cf/
Diamond Black,Global Black,Four-wheel Drive,14–20,Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,1C4SJVFJ3PS514247,235501,9 mi.,2023 Jeep Grand Wagoneer Series II,93443.0,$,https://www.cars.com/vehicledetail/0c21ee44-1a0e-4a9f-89cc-411ddec3e0cc/
Santorini Black,Ebony,Four-wheel Drive,19–23,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,SALCP2FX5PH334439,23R239,–,2023 Land Rover Discovery Sport SE,55125.0,$,https://www.cars.com/vehicledetail/cdebd536-447b-4fd7-9140-8b4e2fbdec98/
Sterling Metallic,Jet Black,Four-wheel Drive,20–26,Diesel,Automatic,"Duramax 3L I-6 diesel direct injection, DOHC, variable valve con",1GKS2BKT1PR355484,1355484,"7,470 mi.",2023 GMC Yukon SLT,74885.0,$,https://www.cars.com/vehicledetail/3376b0c7-a7e1-4a14-8688-3255342ee8a7/
Tanzanite Blue II Metallic,Silverstone,AWD,16–23,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Twin Turbo,WBS33BA04RCP51248,24-57345,5 mi.,2024 BMW M4 Competition xDrive,101895.0,$,https://www.cars.com/vehicledetail/9986aca0-d60c-4d2b-a9e2-a8a3a8bdcc04/
Glacier Blue Metallic,Jet Black,Four-wheel Drive,18–21,Gasoline,Automatic,"2.7L I-4 gasoline direct injection, DOHC, variable valve control",3GCPDDEKXPG301661,200209,7 mi.,2023 Chevrolet Silverado 1500 LT,54740.0,$,https://www.cars.com/vehicledetail/9bb197f4-5de9-4054-8068-c94ce038cf1c/
Jet Black Mica,Caturra Brown,All-wheel Drive,22–27,Gasoline,6-Speed Automatic,2.5L I4 16V,JM3KFBXY6R0369500,5R0058,5 mi.,2024 Mazda CX-5 Signature,42770.0,$,https://www.cars.com/vehicledetail/aea3424a-09dd-4b04-af10-2d2402c8e8e6/
White Knuckle Clearcoat,Black,Rear-wheel Drive,19–30,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,2C3CDXHG5PH576298,12900,2 mi.,2023 Dodge Charger GT,35062.0,$,https://www.cars.com/vehicledetail/c989b35e-5649-44c0-a43a-0e6c1c842cd9/
Diamond Black,Black,Four-wheel Drive,–,Diesel,6-Speed Automatic,6.7L I6 24V DDI OHV Turbo Diesel,3C63RRJL7PG514117,044887A,"54,324 mi.",2023 RAM 3500 Laramie,78994.0,$,https://www.cars.com/vehicledetail/a5f11d53-a7b8-4570-91a5-98b043808657/
Selenite Grey Metallic,Bahia Brown/Black,All-wheel Drive,20–27,Hybrid,Automatic,Intercooled Turbo Gas/Electric I-4 2.0 L/121,4JGFB4FBXRB013632,013632,0 mi.,2024 Mercedes-Benz GLE 350 GLE 350,79900.0,$,https://www.cars.com/vehicledetail/cfe74bc5-9097-4a91-a4f1-ec2a9dc1b13b/
Polar White,Bahia Brown/Black,All-wheel Drive,20–27,Hybrid,Automatic,Intercooled Turbo Gas/Electric I-4 2.0 L/121,4JGFB4FB3RB057665,057665,0 mi.,2024 Mercedes-Benz GLE 350 GLE 350,68545.0,$,https://www.cars.com/vehicledetail/04097cfa-5e71-45e9-b7d2-e7e07e9dcdb6/
Black,Jet Black,Four-wheel Drive,0–0,Gasoline,Automatic,"6.6L V-8 gasoline direct injection, variable valve control, engi",1GC4YUE71RF172684,GM4023,10 mi.,2024 Chevrolet Silverado 3500 LTZ,72585.0,$,https://www.cars.com/vehicledetail/e4312cca-224c-40fa-bf62-8e90d04de307/
Deep Crystal Blue Mica,Beige,All-wheel Drive,24–28,Gasoline,8-Speed Automatic,3.3L,JM3KKBHD5R1118906,M24035,6 mi.,2024 Mazda CX-90 Preferred,44820.0,$,https://www.cars.com/vehicledetail/4d0032ac-835a-4769-9727-44fbf7ff8d27/
White,Red,All-wheel Drive,18–27,Gasoline,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,W1KWJ6EB6PG130599,231081,7 mi.,2023 Mercedes-Benz AMG C 43 Base 4MATIC,68680.0,$,https://www.cars.com/vehicledetail/b028143b-3fff-4c67-9d04-a4f344cd6e4d/
Labrador Black Pearl,Black,Front-wheel Drive,25–31,Gasoline,Automatic CVT,2.4L I4 16V MPFI SOHC,JA4AD2A34EZ016910,P6046,"96,369 mi.",2014 Mitsubishi Outlander ES,9999.0,$,https://www.cars.com/vehicledetail/9f253dc6-7daa-4660-b07a-b231581eb4f7/
Dark Matter Gray Metallic,Black Onyx,Rear-wheel Drive,15–24,Gasoline,10-Speed Automatic,5.0L V8 Ti-VCT,1FA6P8CF6R5404561,F24008,5 mi.,2024 Ford Mustang GT,46210.0,$,https://www.cars.com/vehicledetail/5c4b12eb-c91b-4bbe-8bce-d1a6b872f66b/
Oxford White,–,All-wheel Drive,–,Gasoline,10-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo,1FTBW3UG9PKA94698,FT30312,63 mi.,2023 Ford Transit-350 Base,62215.0,$,https://www.cars.com/vehicledetail/f6cc3a4f-4a0b-44d5-9af9-2d1545bccd21/
Crystal White Tri-Coat,Black,All-wheel Drive,,,1-Speed Automatic,Electric,1GYKPPRLXRZ105416,G1891,27 mi.,2024 Cadillac LYRIQ Luxury,68490.0,$,https://www.cars.com/vehicledetail/decee7cf-cd61-4a54-aa89-35c133f062ee/
Phytonic Blue Metallic,Black,All-wheel Drive,,,Automatic,Electric,WB523CF07NCJ58233,PA10640,"20,448 mi.",2022 BMW iX xDrive50,63450.0,$,https://www.cars.com/vehicledetail/9a5791bb-b307-4a8c-82d6-702b5d848eb5/
White Frost Tri-Coat,Alpine Umber,Four-wheel Drive,–,Diesel,10-Speed Automatic,6.6L V8 32V DDI OHV Turbo Diesel,1GT49XEY8RF202240,6876G,1 mi.,2024 GMC Sierra 2500 Denali Ultimate,111460.0,$,https://www.cars.com/vehicledetail/41b18451-8a76-4a7c-b895-7297b03cb355/
Carpathian Grey,Vintage Tan,Four-wheel Drive,17–21,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,SALEXFEU4P2212715,23L363,12 mi.,2023 Land Rover Defender X,109075.0,$,https://www.cars.com/vehicledetail/4b50b62c-badd-4def-9f79-0c004d3566ba/
